Season,Team1,Team1Name,Team2,Team2Name,pred,pred2,T1Seed,T2Seed,T1AvgOff_rating,T1AvgDef_rating,T2AvgOff_rating,T2AvgDef_rating,ID,T1Top_seeded_teamsPlayed,T1AvgSeedPlayed,T1AvgNet_rating,T1AvgFGperc,T1AvgeFGperc,T1AvgTrueShot,T1AvgPPP,T1AvgFGpercAllow,T1AvgeFGpercAllow,T1AvgTrueShotAllow,T1AvgPPPAllow,T1AvgRebperc,T1AvgOffRebperc,T1AvgRebpercAllow,T1Avg_OffRebpercAllow,T1AvgAstTO,T2Top_seeded_teamsPlayed,T2AvgSeedPlayed,T2AvgNet_rating,T2AvgFGperc,T2AvgeFGperc,T2AvgTrueShot,T2AvgPPP,T2AvgFGpercAllow,T2AvgeFGpercAllow,T2AvgTrueShotAllow,T2AvgPPPAllow,T2AvgRebperc,T2AvgOffRebperc,T2AvgRebpercAllow,T2Avg_OffRebpercAllow,T2AvgAstTO,team1_seed_str,team2_seed_str,seed_diff
2022,1112,Arizona,1124,Baylor,0.5635375401611704,0.4364624598388296,1,1,114.26,91.1,108.97,92.11,2022_1112_1124,9,74.44,49.76,56.08,59.85,114.26,38.92,44.54,47.5,91.1,56.22,33.41,43.78,24.57,171.74,111.32,13,61.12,46.44,52.98,55.93,108.97,42.8,48.24,51.44,92.11,53.54,34.07,46.46,26.42,140.45,102.89,1,1,0
2022,1112,Arizona,1211,Gonzaga,0.35933990434040475,0.6406600956595953,1,1,114.26,91.1,117.64,87.38,2022_1112_1211,9,74.44,49.76,56.08,59.85,114.26,38.92,44.54,47.5,91.1,56.22,33.41,43.78,24.57,171.74,111.32,11,63.72,52.73,59.44,62.2,117.64,37.94,43.12,46.24,87.38,56.19,27.6,43.81,19.53,168.32,92.45,1,1,0
2022,1112,Arizona,1242,Kansas,0.5775760836417656,0.4224239163582344,1,1,114.26,91.1,110.63,96.12,2022_1112_1242,9,74.44,49.76,56.08,59.85,114.26,38.92,44.54,47.5,91.1,56.22,33.41,43.78,24.57,171.74,111.32,14,60.62,48.17,54.18,57.83,110.63,42.08,47.34,50.86,96.12,53.68,31.88,46.32,25.82,145.73,112.17,1,1,0
2022,1112,Arizona,1120,Auburn,0.6712676266322877,0.3287323733677123,1,2,114.26,91.1,105.58,90.71,2022_1112_1120,9,74.44,49.76,56.08,59.85,114.26,38.92,44.54,47.5,91.1,56.22,33.41,43.78,24.57,171.74,111.32,10,70.03,44.32,50.72,54.63,105.58,38.67,44.37,49.31,90.71,53.11,28.06,46.89,24.89,142.13,83.05,1,1,-1
2022,1112,Arizona,1181,Duke,0.7177883293139853,0.2822116706860147,1,2,114.26,91.1,115.37,96.41,2022_1112_1181,9,74.44,49.76,56.08,59.85,114.26,38.92,44.54,47.5,91.1,56.22,33.41,43.78,24.57,171.74,111.32,10,72.21,48.93,55.7,58.79,115.37,41.83,47.15,49.34,96.41,53.7,29.69,46.3,24.85,193.63,156.25,1,1,-1
2022,1112,Arizona,1246,Kentucky,0.5189594329590115,0.4810405670409885,1,2,114.26,91.1,112.9,94.17,2022_1112_1246,9,74.44,49.76,56.08,59.85,114.26,38.92,44.54,47.5,91.1,56.22,33.41,43.78,24.57,171.74,111.32,13,61.85,48.53,53.41,56.68,112.9,41.53,47.07,50.44,94.17,57.41,35.09,42.59,21.21,159.72,106.49,1,1,-1
2022,1112,Arizona,1437,Villanova,0.4416506024398743,0.5583493975601257,1,2,114.26,91.1,111.79,95.34,2022_1112_1437,9,74.44,49.76,56.08,59.85,114.26,38.92,44.54,47.5,91.1,56.22,33.41,43.78,24.57,171.74,111.32,16,53.88,44.12,52.46,57.25,111.79,40.84,47.54,51.18,95.34,52.45,27.32,47.55,23.7,153.54,102.87,1,1,-1
2022,1112,Arizona,1345,Purdue,0.491599777995379,0.508400222004621,1,3,114.26,91.1,116.34,100.92,2022_1112_1345,9,74.44,49.76,56.08,59.85,114.26,38.92,44.54,47.5,91.1,56.22,33.41,43.78,24.57,171.74,111.32,19,47.91,49.33,56.96,60.08,116.34,42.89,49.75,52.48,100.92,57.71,33.4,42.29,20.11,159.29,174.68,1,1,-2
2022,1112,Arizona,1397,Tennessee,0.5327017907926641,0.4672982092073359,1,3,114.26,91.1,104.82,89.04,2022_1112_1397,9,74.44,49.76,56.08,59.85,114.26,38.92,44.54,47.5,91.1,56.22,33.41,43.78,24.57,171.74,111.32,14,58.64,42.98,50.28,53.94,104.82,40.25,46.49,50.45,89.04,52.92,30.56,47.08,24.02,152.72,80.03,1,1,-2
2022,1112,Arizona,1403,Texas Tech,0.5054853105388124,0.4945146894611876,1,3,114.26,91.1,104.45,87.02,2022_1112_1403,9,74.44,49.76,56.08,59.85,114.26,38.92,44.54,47.5,91.1,56.22,33.41,43.78,24.57,171.74,111.32,15,57.56,47.16,52.59,56.26,104.45,38.66,45.91,49.72,87.02,55.72,30.78,44.28,22.11,108.43,79.16,1,1,-2
2022,1112,Arizona,1458,Wisconsin,0.5588892422613102,0.4411107577386898,1,3,114.26,91.1,103.5,97.47,2022_1112_1458,9,74.44,49.76,56.08,59.85,114.26,38.92,44.54,47.5,91.1,56.22,33.41,43.78,24.57,171.74,111.32,18,45.71,42.77,48.42,52.78,103.5,43.88,49.36,52.37,97.47,50.25,23.27,49.75,21.2,137.24,117.92,1,1,-2
